date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
2016-07-01 00:00:00,41.1300010681,12.4809999466,36.5359992981,9.3549995422,4.4239997864,1.3109999895,38.6619987488
2016-07-01 01:00:00,37.5279998779,10.1359996796,33.936000824,7.5320000648,4.4349999428,1.2150000334,37.1240005493
2016-07-01 02:00:00,37.9469985962,11.3090000153,35.3300018311,9.0069999695,2.0999999046,0.0,36.4650001526
2016-07-01 03:00:00,38.9519996643,11.8950004578,35.5439987183,9.4359998703,3.3800001144,1.2150000334,33.6085014343
2016-07-01 04:00:00,38.1139984131,11.4759998322,35.4099998474,9.623000145,2.0360000134,0.0,31.8505001068
2016-07-01 05:00:00,36.7739982605,10.9739999771,34.9280014038,9.248000145,2.0360000134,0.0,30.531999588
2016-07-01 06:00:00,39.0359992981,11.8109998703,37.1529998779,10.079000473,2.0360000134,0.0,30.093000412
2016-07-01 07:00:00,39.3709983826,11.3090000153,36.5359992981,9.4090003967,2.0680000782,0.0,29.8729991913
2016-07-01 08:00:00,33.9259986877,8.4610004425,31.8990001678,6.4869999886,2.0150001049,0.0,29.6529998779
2016-07-01 09:00:00,38.4490013123,13.904999733,37.2869987488,12.142999649,1.2690000534,0.0,29.2134990692
2016-07-01 10:00:00,35.936000824,9.5500001907,34.2579994202,8.0419998169,1.2690000534,0.0,27.4559993744
2016-07-01 11:00:00,35.7690010071,9.4659996033,33.936000824,7.9079999924,1.2690000534,0.0,27.4559993744
2016-07-01 12:00:00,40.2089996338,12.984000206,38.7610015869,11.0979995728,1.3430000544,0.0,27.2364997864
2016-07-01 13:00:00,37.0250015259,11.8950004578,35.7319984436,10.4270000458,1.3860000372,0.0,26.5769996643
2016-07-01 14:00:00,39.9570007324,13.3190002441,38.5730018616,11.4189996719,1.2899999619,0.0,26.797000885
2016-07-01 15:00:00,40.2919998169,13.4870004654,39.0559997559,11.875,1.2690000534,0.0,26.797000885
2016-07-01 16:00:00,40.8790016174,13.5699996948,39.4580001831,11.8479995728,1.4930000305,0.0,26.797000885
2016-07-01 17:00:00,42.1349983215,13.4029998779,39.2439994812,11.2849998474,2.7079999447,0.0,26.5774993896
2016-07-01 18:00:00,42.7220001221,13.9890003204,39.3779983521,11.607000351,2.7079999447,0.0,26.5774993896
2016-07-01 19:00:00,37.361000061,10.4709997177,34.4720001221,8.6049995422,2.7079999447,0.0,26.1375007629
2016-07-01 20:00:00,41.1300010681,12.6490001678,37.7690010071,10.4010000229,2.7079999447,0.0,26.1375007629
2016-07-01 21:00:00,36.5229988098,10.4709997177,33.5069999695,8.4969997406,2.7079999447,0.0,25.6984996796
2016-07-01 22:00:00,36.1040000916,10.3870000839,34.1240005493,9.0069999695,2.7079999447,0.0,25.9179992676
2016-07-01 23:00:00,36.438999176,10.638999939,33.4799995422,8.9259996414,2.7079999447,0.0,25.9179992676
2016-07-02 00:00:00,35.6010017395,11.4759998322,33.6949996948,9.890999794,1.5349999666,0.0,25.9179992676
2016-07-02 01:00:00,32.9210014343,9.968000412,32.2739982605,8.8190002441,0.0,0.0,26.3575000763
